,689
A,Laptop Lenovo Yoga Slim 7 14ITL05 i5 1135G7/16GB/512GB/14”FHD/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-yoga-slim-7-14itl05-i5-1135g7-win-11-htm
C,26.290.000
D,1 máy
E,14.9 x 320.5 x 208.5 mm
F,1.36 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,16 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,
X,14.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 2 Thunderbolt, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đơn
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
