,1825
A,Laptop HP ZBook Firefly 14 G8 i5 1135G7/8GB/512GB/14”FHD/Win 10 Pro
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-zbook-firefly-14-g8-i5-1135g7-ram-8gb-htm
C,33.990.000
D,1 máy
E,17.9 x 323 x 214.6 mm
F,1.35 kg
G,
H,
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,14.0 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 2 Thunderbolt, 2 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Pro
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,Lithium polymer
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
