,3347
A,"Laptop MSI Gaming Alpha 15 B5EEK 036VN R7 5800H/16GB/512GB/RX6600M 8GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-gaming-alpha-15-b5eek-036vn-r7-5800h-htm
C,32.490.000
D,1 máy
E,23.9 x 359 x 259 mm
F,2.35 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 7
J,5800H
K,3.20 GHz
L,4.40 GHz
M,8
N,16
O,
P,
Q,16 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,64 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,
AH,AMD
AI,Radeon
AJ,
AK,
AL,AMD
AM,Radeon RX 6600M
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,RGB
BD,4 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,72% NTSC
BL,RGB 1 Zone
BM,
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
