,2183
A,"Laptop HP Gaming Victus 16-e0179AX R5 5600H/8GB/512GB/16.1""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-victus-16-e0179ax-r5-5600h-htm
C,26.490.000
D,2 máy
E,369 x 260 x 23.5 mm
F,2.46 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,4 GT/s
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,16.1 inch
Y,Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,4 GB
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 2 USB 2.0"
AV,Wifi 6
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,4 Cell
BE,200 W
BF,Windows
BG,Windows 11
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HP audio boost
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
