,1659
A,"Laptop HP 15s-fq2602TU/Core i5-1135G7/8GB/256GB/15.6""HD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-15s-fq2602tu-i5-1135g7-win11-htm
C,15.990.000
D,1 máy
E,358.5 x 242 x 17.9 mm
F,1.766 kg
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,15.6 inch
Y,BrightView Micro-edge WLED-backlit
Z,1366 x 768 Pixels
AA,LED
AB,
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,802.11 a/b/g/n/ac
AW,v4.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 11
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
