,2879
A,"Laptop MSI Modern 15 A5M 235VN R7 5700U/8GB/512GB/15.6""FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-modern-15-a5m-235vn-r7-5700u-htm
C,18.990.000
D,1 máy
E,18.9 x 356.8 x 233.7 mm
F,1.6 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại"
H,AMD
I,Ryzen 7
J,5700U
K,1.80 GHz
L,4.30 GHz
M,8
N,16
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,64 GB
X,15.6 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,1000:1
AG,
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,MSI Center for Business & Productivity
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,1900 MHz
BP,Realtek High Definition Audio
BQ,Cooler Boost
BR,
BS,
BT,
BU,
BV,
BW,
BX,
