,416
A,Laptop Asus TUF FX506LI HN039T i5 10300H/8GB/512GB SSD/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-fx506li-hn039t-i5-10300h-htm
C,21.999.000
D,1 máy
E,359 x 256 x 24.7
F,2.3
G,
H,Intel
I,Core i5
J,10300H
K,2.50 GHz
L,5.00 GHz
M,4
N,8
O,8 MB
P,
Q,
R,DDR4
S,2933 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,630
AJ,1150 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,
BE,150 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,DTS Studio Sound
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
