,2203
A,Laptop HP ENVY 13 aq1022TU i5 10210U/8GB/512GB SSD/WIN10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-envy-13-aq1022tu-i5-10210u-htm
C,22.899.000
D,1 máy
E,307 x 211.5 x 14.7
F,1.17
G,
H,Intel
I,Core i5
J,10210U
K,1.60 GHz
L,4.20 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,
R,DDR4
S,2400 MHz
T,0
U,0
V,1
W,8 GB
X,13.3 inch
Y,BrightView Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,1100 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 a/b/g/n/ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề nâng
BK,72% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Audio by B&O
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
