,788
A,Laptop Asus Vivobook X515EA BQ993T i5 1135G7/8GB/512GB SSD/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-x515ea-bq993t-i5-1135g7-htm
C,17.990.000
D,6 máy
E,360 x 235 x 19.9 mm
F,1.8 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,0
V,0
W,16 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 2.0"
AV,802.11 ac
AW,v4.1
AX,
AY,
AZ,Chiclet Keyboard
BA,
BB,
BC,
BD,2 Cell
BE,37 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
