,3423
A,"Laptop Dell Inspiron N3501 i5 1135G7/8GB/512GB/NV GeForce MX330 2GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n3501-i5-1135g7-htm
C,21.399.000
D,1 máy
E,363.96 x 249 x 19.9
F,1.96
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,16:10
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Có
AQ,2
AR,
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Non-backlit Keyboard
BA,Có
BB,Không
BC,
BD,
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,McAfee LiveSafe
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
