,4067
A,"Laptop Asus TUF Gaming FX516PC - HN558W i5 11300H/8GB/512GB SSD/15.6""FHD/GeForce RTX3050 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx516pc-hn558w-i5-11300h-htm
C,21.990.000
D,1 máy
E,360 x 252 x 19.9 mm
F,2 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,Intel
I,Core i5
J,11300H
K,3.01 GHz
L,4.40 GHz
M,4
N,8
O,
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,
AJ,
AK,
AL,NVIDIA
AM,
AN,
AO,SSD
AP,
AQ,2
AR,1 SSD
AS,M2. PCIe 2
AT,512 GB
AU,"1 HDMI 2.0, 1 Thunderbolt, 3 USB 3.2 Gen 1"
AV,802.11 ax
AW,v5.1
AX,Không
AY,
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,4 Cell
BE,180 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,62% sRGB
BL,
BM,
BN,Lithium-ion 4 viên
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
