,1850
A,Laptop Asus Gaming TUF FX516PE-HN005T i7 11370H/8GB/512GB/15.6''FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-fx516pe-hn005t-i7-11370h-htm
C,29.990.000
D,3 máy
E,360 x 252 x 19.9 mm
F,2.072 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,Intel
I,Core i7
J,11370H
K,3.30 GHz
L,4.80 GHz
M,4
N,8
O,12 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,4 GB GDDR6
AO,SSD
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Thunderbolt, 3 USB 3.0"
AV,802.11 ac
AW,v5.1
AX,Không
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,4 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đơn
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,400 MHz
BP,DTS Studio Sound
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
