,686
A,"Laptop HP Envy x360 13-bd0531TU i5 1135G7/8GB/256GB/13.3""FHD Touch/Bút/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-envy-x360-13-bd0531tu-i5-1135g7-htm
C,24.990.000
D,3 máy
E,306.7 x 194.5 x 16.4 mm
F,1.3 kg
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,
X,13.3 inch
Y,BrightView Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,IPS
AD,400 nits
AE,
AF,
AG,Có
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 Jack 3.5 mm, 1 Thunderbolt, 1 Type C, 2 USB 2.0"
AV,Wifi 6
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,
BA,
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Bản lề đôi mở 360 độ
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,HP audio boost
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
