,2143
A,"Dell G3 15 3500B i7 10750H/16GB/512GB/15.6""FHD/NV GTX1660Ti 6GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-g3-15-3500b-i7-10750h-htm
C,31.999.000
D,4 máy
E,364.46 x 254 x 21.60 ~ 30.96
F,2.58
G,
H,Intel
I,Core i7
J,10750H
K,2.60 GHz
L,5.00 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,16 GB
R,DDR4
S,2933 MHz
T,2
U,0
V,0
W,16 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,120 Hz
AC,WVA
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,350 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,4 Cell
BE,240 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek ALC3254 with Nahimic 3D Audio for Gamers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
