,4690
A,"Laptop Asus TUF Gaming FX706HC-HX003T i5 11400H/8GB/512GB/17.3""FHD/NVIDIA GeForce RTX 3050 4GB/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx706hc-hx003t-i5-11400h-htm
C,26.990.000
D,2 máy
E,
F,2.6 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,17.3 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Thunderbolt, 3 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,
AY,2
AZ,Chiclet Keyboard
BA,
BB,LED
BC,
BD,3 Cell
BE,48 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,RGB per key
BM,
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
