,4534
A,"Laptop Lenovo IdeaPad Slim 5 R7 4700U/8GB/128GB SSD+1TB HDD/15.6""FHD_NK"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/ideapad-slim-5-r7-4700u-htm
C,19.990.000
D,2 máy
E,356.67 x 233.13 x 17.9 - 19.9 mm
F,1.66 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,AMD
I,Ryzen 7
J,4700U
K,2.00 GHz
L,4.10 GHz
M,8
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,Không nâng cấp
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,TN
AD,250 nits
AE,16:09
AF,1000:1
AG,Không
AH,AMD
AI,Radeon
AJ,1600 MHz
AK,Share
AL,
AM,
AN,
AO,"HDD, SSD"
AP,Không
AQ,2
AR,0
AS,M2. PCIe
AT,128 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,802.11 a/b/g/n/ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề đơn
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HD Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
