,4653
A,"MacBook Pro 13"" 2019 Touch Bar 2.4GHz Core i5 256GB"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/macbook-pro-13-touch-bar-i5-8g-256gb-2019-htm
C,44.499.000
D,2 máy
E,304.1 x 212.4 x 14.9 mm
F,1.37 kg
G,Nhôm
H,Intel
I,Core i5
J,8th-gen
K,2.40 GHz
L,4.10 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,8 GB
R,LPDDR3
S,2133 MHz
T,0
U,0
V,1
W,16 GB
X,13.3 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,2560 x 1600 Pixels
AA,LED
AB,
AC,IPS
AD,
AE,16:10
AF,
AG,Không
AH,Intel
AI,655
AJ,1200 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,
AS,
AT,256 GB
AU,"1 Jack 3.5 mm, 4 Thunderbolt, 4 Type C"
AV,802.11 a/b/g/n/ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,
BE,
BF,macOS
BG,
BH,
BI,
BJ,
BK,99% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,300 MHz
BP,Stereo speakers with high dynamic range
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
