,4530
A,Laptop Dell Vostro V3405 R5 3500U/8GB/512GB/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3405-r5-3500u-512gb-win-10-htm
C,17.990.000
D,4 máy
E,
F,1.79 kg
G,
H,AMD
I,Ryzen 5
J,3500U
K,2.10 GHz
L,3.70 GHz
M,4
N,8
O,4 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,2400 MHz
T,
U,
V,
W,16 GB
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,
AD,
AE,
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,
AR,
AS,
AT,512 GB
AU,
AV,
AW,
AX,
AY,
AZ,Chiclet Keyboard
BA,Không
BB,Không
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home Single Language
BH,
BI,
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
