,3135
A,Laptop Dell Vostro V3400 i5 1135G7/8GB/512GB/14.0FHD/MX 330 2GB/Win 10+Office Home&Student
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3400-i5-1135g7-mx330-win10-htm
C,21.990.000
D,4 máy
E,19.9 x 320.5 x 232.8 mm
F,1.55 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,
X,14.0 inch
Y,Wide-Viewing Angle (WVA)
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,TFT
AD,
AE,16:09
AF,
AG,
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,
AL,NVIDIA
AM,GeForce MX330
AN,2 GB GDDR5
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
