,185
A,Laptop Lenovo IdeaPad Flex 5 14ARE05 R7 4700U/8GB/512GB/Pen/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-ideapad-flex-5-14are05-r7-4700u-htm
C,18.999.000
D,1 máy
E,321.57 x 217.5 x 17.9
F,1.5
G,
H,AMD
I,Ryzen 7
J,4700U
K,2.00 GHz
L,4.10 GHz
M,8
N,8
O,8 MB
P,
Q,
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,14.0 inch
Y,FHD Touch
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,TN
AD,220 nits
AE,16:09
AF,
AG,Có
AH,AMD
AI,Vega 6
AJ,1500 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,"6-row, multimedia Fn keys"
BA,Không
BB,LED
BC,
BD,
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,2242
BV,
BW,
BX,
