,3851
A,"Laptop Asus Vivobook M513UA-L1230T R5 5500U/8GB/512GB SSD/15.6"" OLED FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-m513ua-l1230t-r5-5500u-htm
C,18.990.000
D,7 máy
E,
F,1.8 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhôm"
H,AMD
I,Ryzen 5
J,5500U
K,2.10 GHz
L,4.00 GHz
M,6
N,12
O,8 MB
P,
Q,8 GB
R,DDR4
S,
T,1
U,0
V,1
W,20 GB
X,15.6 inch
Y,OLED
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,400 nits
AE,
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,
AY,1
AZ,Chiclet Keyboard
BA,
BB,
BC,
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Harman Kardon speakers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
