,3682
A,Laptop Lenovo Yoga Slim 7 14ITL05 i7 1165G7/16GB/512GB/14”FHD/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-yoga-slim-7-14itl05-i7-1165g7-win10-htm
C,29.190.000
D,1 máy
E,320.5 x 208.5 x 14.9
F,1.36
G,
H,Intel
I,Core i7
J,1165G7
K,2.80 GHz
L,4.70 GHz
M,4
N,8
O,12 MB
P,4 GT/s
Q,16 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,Không nâng cấp
X,14.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys"
BA,Không
BB,LED
BC,
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
