,3849
A,"Laptop Dell Vostro V3400 i5 1135G7/8GB/256GB/14""FHD/Win 11+Office HS21"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3400-i5-1135g7-win-11-htm
C,18.890.000
D,4 máy
E,328 x 239 x 19 mm
F,1.64 kg
G,
H,Intel
I,Core i5
J,1135G7
K,3.00 GHz
L,4.10 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,2666 MHz
T,2
U,1
V,0
W,16 GB
X,14.0 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,
AF,500:1
AG,Không
AH,Intel
AI,UHD
AJ,1250 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Non-backlit Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 11 Home Single Language
BH,
BI,Office Home & Student
BJ,
BK,45% NTSC
BL,
BM,
BN,
BO,
BP,Realtek ALC3204
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
