,169
A,"Laptop Dell Inspiron N3505 R5 3450U/8GB/256GB/15.6""FHD Touch/AMD Radeon Vega 8/Win 10/NK"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n3505-r5-3450u-win-10-nk-htm
C,17.990.000
D,2 máy
E,363.96 x 249 x 18 ~ 19.90 mm
F,1.98 kg
G,Mặt bàn phím + kê tay: Nhựa
H,AMD
I,Ryzen 5
J,3450U
K,2.10 GHz
L,3.50 GHz
M,4
N,8
O,4 MB
P,
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,Wide-Viewing Angle (WVA)
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,16:09
AF,600:1
AG,Có
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M.2 NVMe
AT,256 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 USB 2.0, 2 USB 3.0"
AV,802.11 a/b/g/n
AW,v4.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek ALC3204
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
