,3482
A,"Laptop Asus Vivobook S433EA-AM439T i5 1135G7/8GB/512GB SSD/14""FHD/Iris Xe/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-s433ea-am439t-i5-1135g7-htm
C,19.490.000
D,3 máy
E,324 x 213 x 15.9 mm
F,1.4 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,14.0 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Thunderbolt, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,56 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Ergolift
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Harman Kardon speakers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
