,3503
A,"Laptop HP Pavilion 15 eg0540TU i5 1135G7/8GB/256GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-pavilion-15-eg0540tu-i5-1135g7-win-10-htm
C,17.990.000
D,1 máy
E,360 x 234 x 17.9 mm
F,1.68 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,16 GB
X,15.6 inch
Y,WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Type C"
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
