,1956
A,"Laptop HP Pavilion 15 eg2057TU i5 1240P/8GB/512GB/15.6""FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-pavilion-15-eg2057tu-i5-1240p-htm
C,18.990.000
D,1 máy
E,360.2 x 234 x 17.9 mm
F,1.702 kg
G,Mặt bàn phím + kê tay: Nhôm
H,Intel
I,Core i5
J,1240P
K,1.70 GHz
L,4.40 GHz
M,12
N,16
O,12 MB
P,
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,16 GB
X,15.6 inch
Y,IPS FHD
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,
AR,
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 3 USB 3.2 Gen 1"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Có
BB,Không
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
