,3476
A,Laptop Acer Aspire Gaming A715 75G 56ZL i5 10300H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-aspire-gaming-a715-75g-56zl-i5-10300h-htm
C,20.990.000
D,1 máy
E,363.4 x 254.5 x 22.9 mm
F,2.1 kg
G,Vỏ máy: Nhựa
H,Intel
I,Core i5
J,10300H
K,2.50 GHz
L,4.50 GHz
M,4
N,8
O,8 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Acer ComfyView Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,NVIDIA
AM,GeForce GTX 1650
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,1
AR,0
AS,M.2 NVMe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,130 W
BF,Windows
BG,Windows 10
BH,64 bit
BI,
BJ,Bản lề đôi mở 180 độ
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
