,1517
A,"Laptop Dell Gaming G15 5511 i7 11800H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 11/Office HS21"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-gaming-g15-5511-i7-11800h-rtx-3050ti-htm
C,35.990.000
D,1 máy
E,357.2 x 272 x 25 mm
F,2.81 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,16
O,24 MB
P,8 GT/s
Q,16 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,120 Hz
AC,WVA
AD,250 nits
AE,16:09
AF,800:1
AG,
AH,Intel
AI,UHD
AJ,1450 MHz
AK,
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,4 GB
AO,SSD
AP,Không
AQ,2
AR,
AS,M.2 NVMe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,LED
BC,Cam
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 11 Home Single Language
BH,
BI,Office Home & Student
BJ,Bản lề mở 130 độ
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,350 MHz
BP,Realtek ALC3254 with Nahimic 3D Audio for Gamers
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
