,154
A,"Laptop Asus Vivobook A515EA-L11970W i5 1135G7/8GB/512GB SSD/15.6"" OLED/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a515ea-l11970w-i5-1135g7-htm
C,18.990.000
D,17 máy
E,359 x 235 x 17.9 mm
F,1.8 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,24 GB
X,15.6 inch
Y,OLED
Z,1920 x 1200 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,400 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Chiclet Keyboard
BA,Có
BB,Không
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,100% DCI-P3
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
