,628
A,"Laptop MSI Gaming Pulse GL66 11UDK-255VN i7 11800H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-pulse-gl66-11udk-255vn-i7-11800h-htm
C,33.990.000
D,1 máy
E,23.9 x 359 x 258 mm
F,2.25 kg
G,"Khung màn hình: Kim loại, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa ABS"
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,16
O,24 MB
P,
Q,16 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,64 GB
X,15.6 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,
AH,Intel
AI,
AJ,
AK,
AL,Intel
AM,GeForce RTX 3050 Ti
AN,
AO,
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,
BC,RGB
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,Cooler Boost
BR,
BS,
BT,
BU,
BV,
BW,
BX,
