,319
A,"Laptop HP Gaming Victus 16-d0199TX i7 11800H/8GB/512GB+32GB/16.1""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-victus-16-d0199tx-i7-11800h-rtx-3050ti-htm
C,32.490.000
D,1 máy
E,37 x 26 x 2.35 cm
F,2.46 kg
G,
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,12
O,24 MB
P,8 GT/s
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,
U,
V,
W,
X,16.1 inch Chính:
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,
AI,
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M.2 NVMe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,Wifi 6 AX201
AW,v5.0
AX,Trước HD Webcam (720p Webcam)
AY,
AZ,English International Backlit Keyboard
BA,Có
BB,LED
BC,Trắng
BD,70 Wh
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HP audio boost
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
