,2552
A,"Laptop Gigabyte Gaming G5 GD i5 11400H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/gigabyte-gaming-g5-gd-i5-11400h-win-11-htm
C,19.990.000
D,1 máy
E,361 x 258 x 24.9 mm
F,2.2 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,16 GB (2 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,64 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,1450 MHz
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,Có
AQ,3
AR,2
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,15 màu
BD,4 Cell
BE,150 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,Bản lề mở 135 độ
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,350 MHz
BP,DTS Studio Sound
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
