,1310
A,"Laptop Dell Inspiron N5510 i5 11300H/8GB/256GB/15.6""FHD/Office Home&Student"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n5510-i5-11300h-htm
C,22.990.000
D,5 máy
E,356 x 228 x18 mm
F,1.65 kg
G,"Khung màn hình: Kim loại, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại và nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,11300H
K,3.01 GHz
L,4.40 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,
X,15.6 inch
Y,BrightView WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,TFT
AD,
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,802.11 ac
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,Bản lề đôi
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
