,76
A,Laptop Lenovo ThinkBook 15 G2 ITL i7 1165G7/8GB/512GB/MX450 2GB/Win 11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-thinkbook-15-g2-itl-i7-1165g7-win-11-htm
C,26.190.000
D,1 máy
E,357 x 235 x 19 mm
F,1.7 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhựa ABS"
H,Intel
I,Core i7
J,1165G7
K,2.80 GHz
L,4.70 GHz
M,4
N,8
O,12 MB
P,4 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,40 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,700:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,NVIDIA
AM,GeForce MX450
AN,2 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Thunderbolt, 1 Type C, 2 USB 3.0"
AV,802.11 ac
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đơn
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,1 quạt
BR,
BS,
BT,
BU,2242
BV,
BW,
BX,
