,4426
A,"Laptop Dell Inspiron N5410 i5 11320H/8GB/512GB/14.0""FHD/Win 11+Office HS 21"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n5410-i5-11320h-htm
C,24.499.000
D,3 máy
E,
F,1.442 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,
I,Core i5
J,
K,
L,
M,4
N,8
O,
P,
Q,8 GB
R,
S,
T,
U,
V,0
W,
X,14.0 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,
AD,
AE,
AF,
AG,Không
AH,Intel
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm"
AV,802.11 ax
AW,v5.1
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,
BE,
BF,Windows
BG,Windows 11 Home
BH,
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
