,3999
A,Laptop Lenovo IdeaPad 5 Pro 16ACH6 R5 5600H/16GB/512GB/16”WQXGA/NVIDIA GeForce RTX 3050 4GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-ideapad-5-pro-16ach6-r5-5600h-rtx-3050-htm
C,27.990.000
D,1 máy
E,356 x 251 x 16.9-18.4 mm
F,1.9 kg
G,Vỏ máy: Nhôm
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,
Q,16 GB (2 thanh 8 GB)
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,16 GB
X,16.0 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,2560 x 1600 Pixels
AA,LED
AB,120 Hz
AC,IPS
AD,350 nits
AE,16:10
AF,1200:1
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,Wifi 6
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys, numeric keypad"
BA,Có
BB,LED
BC,Trắng
BD,4 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đơn
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
