,1823
A,"Laptop Asus TUF Gaming FX516PM-HN002W i7 11370H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3060 6GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx516pm-hn002w-i7-11370h-htm
C,32.990.000
D,1 máy
E,360 x 252 x 19.9 mm
F,2 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i7
J,11370H
K,3.30 GHz
L,4.80 GHz
M,4
N,8
O,12 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,24 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3060
AN,6 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Thunderbolt, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,Không
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,4 Cell
BE,200 W
BF,Windows
BG,Windows 11 Home
BH,
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
