,4394
A,Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1''FHD/NVIDIA GeForce RTX 3050 4GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-swift-x-sfx16-51g-516q-i5-11320h-htm
C,28.990.000
D,1 máy
E,18.9 x 368 x 235 mm
F,1.9 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,11320H
K,3.20 GHz
L,4.50 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,16 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,
X,16.1 inch
Y,Acer ComfyView LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB
AO,SSD
AP,Không
AQ,2
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,"802.11 ax, Wifi 6"
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,59 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
