,431
A,Laptop ASUS VivoBook S533EQ BN338T i5 1135G7/8GB/512GB SSD/MX350 2GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-s533eq-bn338t-i5-1135g7-mx350-2gb-htm
C,20.990.000
D,3 máy
E,359 x 233.5 x 16.1 mm
F,1.8 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,NVIDIA
AM,GeForce MX350
AN,2 GB GDDR5
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 HDMI 2.1, 1 Thunderbolt, 1 Type C, 1 USB 3.0, 2 USB 2.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Ergolift
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,400 MHz
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
