,2279
A,"Laptop Dell Vostro V3400 i5 1135G7/8GB/256GB/14.0""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3400-i5-1135g7-win10-htm
C,18.990.000
D,1 máy
E,359 x 254 x 21.7
F,1.86
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,
R,DDR4
S,
T,2
U,1
V,0
W,8 GB
X,14.0 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,
AE,16:10
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,
AV,802.11 a/b/g/n
AW,v4.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Chiclet Keyboard
BA,Không
BB,Không
BC,
BD,
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,McAfee LiveSafe
BJ,Bản lề đôi
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek High Definition Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
