,3426
A,"Microsoft Surface Laptop Go i5 1035G1/8GB/256GB/12.4"" Touch/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/microsoft-surface-go-i5-1035g1-256gb-htm
C,23.990.000
D,3 máy
E,15.69 x 278.18 x 205.67 mm
F,1.1 kg
G,Mặt bên ngoài cùng: Nhôm
H,Intel
I,Core i5
J,1035G1
K,1.00 GHz
L,3.60 GHz
M,4
N,8
O,6 MB
P,4 GT/s
Q,8 GB
R,LPDDR4X
S,3733 MHz
T,0
U,0
V,1
W,
X,12.4 inch
Y,IPS LCD
Z,1536 x 1024 Pixels
AA,LED
AB,60 Hz
AC,IPS Glossy
AD,300 nits
AE,3:2
AF,
AG,Có
AH,Intel
AI,UHD
AJ,1050 MHz
AK,
AL,
AM,
AN,
AO,
AP,Không
AQ,
AR,
AS,M2. PCIe
AT,128 GB
AU,"1 Jack 3.5 mm, 1 Type C, 1 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,Trước HD Webcam (720p Webcam)
AY,2
AZ,English International Non-backlit Keyboard
BA,
BB,
BC,
BD,3 Cell
BE,39 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,100% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,300 MHz
BP,Dolby Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
