,4332
A,Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-nitro-gaming-an515-57-5669-i5-11400h-htm
C,22.990.000
D,1 máy
E,363.4 x 255 x 23.9 mm
F,2.2 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Acer ComfyView LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,NVIDIA
AM,GeForce GTX 1650
AN,4 GB GDDR6
AO,SSD
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,RGB 4 Zone
BD,4 Cell
BE,57.5 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,RGB 4 Zone
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
