,3710
A,"Laptop Asus Gaming Strix G513QC-HN015T R7 5800H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-gaming-strix-g513qc-hn015t-r7-5800h-htm
C,29.990.000
D,1 máy
E,
F,2.1 kg
G,"Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại"
H,AMD
I,Ryzen 7
J,5800H
K,3.20 GHz
L,4.40 GHz
M,8
N,16
O,16 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,
BD,4 Cell
BE,56 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,
BN,Lithium-ion
BO,
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
