,3038
A,"Laptop Asus Vivobook Pro M7600QC-L2077W R5 5600H/16GB/512GB/16""4K/NVIDIA GeForce RTX 3050 4GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-pro-m7600qc-l2077w-r5-5600h-htm
C,30.990.000
D,2 máy
E,360.5 x 259.0 x 18.9 mm
F,1.95 kg
G,Vỏ máy: Nhôm
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,
Q,16 GB (1 thanh 16 GB)
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,16 GB
X,16.0 inch Chính:
Y,OLED Chính:
Z,3840 x 2400 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,500 nits
AE,16:10
AF,1.000.000: 1
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,
AQ,M.2 slot x 1
AR,0
AS,M.2 NVMe 1
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI 1.4, 1 Type C, 1 USB 3.2, 2 USB 2.0"
AV,Wifi 6
AW,v5.0
AX,Trước HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,"6 Cell, 96 Wh"
BE,120 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Ergolift
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,1800 MHz
BP,Harman Kardon speakers
BQ,Có
BR,
BS,
BT,
BU,
BV,
BW,
BX,
