,1699
A,"Laptop MSI Modern 14 B11MOU-1034VN i5 1155G7/8GB/512GB/14""FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-modern-14-b11mou-1034vn-i5-1155g7-htm
C,17.490.000
D,6 máy
E,16.9 x 319 x 219 mm
F,1.3 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Kim loại"
H,Intel
I,Core i5
J,1155G7
K,2.50 GHz
L,4.50 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,64 GB
X,14.0 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,16:09
AF,
AG,
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,"802.11 ax, Wifi 6"
AW,v5.2
AX,
AY,1
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
