,428
A,Dell Vostro V5481/Core i5-8265U/V4I5206W
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v5481-v4i5206w-htm
C,19.999.000
D,1 máy
E,
F,1.55
G,
H,Intel
I,Core i5
J,8265U
K,1.60 GHz
L,3.90 GHz
M,
N,
O,6 MB
P,
Q,
R,DDR4
S,2400 MHz
T,
U,
V,
W,32 GB
X,14.0 inch
Y,FHD
Z,1920 x 1080 Pixelss
AA,
AB,
AC,
AD,
AE,
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,
AR,
AS,M2. PCIe
AT,256 GB
AU,
AV,802.11 ac
AW,
AX,HD Webcam (720p Webcam)
AY,
AZ,Chiclet Keyboard
BA,Không
BB,
BC,
BD,
BE,
BF,Windows
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
