,2554
A,"Laptop MSI Gaming GF63 10SC 804VN i5 10500H/8GB/512GB/15.6""FHD/GTX 1650 4GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-gaming-gf63-10sc-804vn-i5-10500h-htm
C,20.990.000
D,3 máy
E,21.7 x 359 x 254 mm
F,1.86 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,
I,Core i5
J,10500H
K,2.50 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,64 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce GTX 1650 Max-Q
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 4 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Đỏ
BD,3 Cell
BE,120 W
BF,
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,300 MHz
BP,HD Audio
BQ,Cooler Boost
BR,
BS,
BT,
BU,
BV,
BW,
BX,
