,1311
A,"Laptop Dell Inspiron N3511 i5 1135G7/8GB/512GB/15.6""FHD/MX350 2GB/Win 10+Office Home Student"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n3511-i5-1135g7-mx350-win-10-htm
C,22.999.000
D,4 máy
E,19 x 359 x 235 mm
F,1.73 kg
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,
AF,400:1
AG,
AH,Intel
AI,Iris Plus
AJ,1300 MHz
AK,
AL,NVIDIA
AM,GeForce MX350
AN,
AO,
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ac
AW,v5.0
AX,
AY,2
AZ,English International Non-backlit Keyboard
BA,
BB,
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,
BK,45% NTSC
BL,
BM,
BN,
BO,
BP,Realtek ALC3204
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
