,4035
A,"Laptop Dell Vostro V5502A i7 1165G7/16GB/512GB/GF MX330 2GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v5502a-i7-1165g7-htm
C,27.999.000
D,1 máy
E,
F,1.7
G,
H,Intel
I,Core i7
J,1165G7
K,1.80 GHz
L,4.90 GHz
M,4
N,8
O,12 MB
P,
Q,
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,
BE,
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Realtek ALC3204
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
