,1951
A,Laptop Asus Vivobook A515EP-BQ496T i5 1135G7/8GB/512GB SSD/Nvidia MX330 2GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-a515ep-bq496t-i5-1135g7-mx330-2gb-htm
C,20.090.000
D,3 máy
E,359 x 233 x 23.5 mm
F,1.8 kg
G,"Khung màn hình: Kim loại, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,6 MB
P,
Q,8 GB
R,DDR4
S,
T,1
U,1
V,1
W,24 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,NVIDIA
AM,GeForce MX330
AN,2 GB GDDR5
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,
AY,2
AZ,Chiclet Keyboard
BA,
BB,
BC,
BD,3 Cell
BE,42 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
