,1259
A,Laptop Asus TUF FX506LI HN096T i7 10870H/8GB/512GB SSD/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-fx506li-hn096t-i7-10870h-htm
C,26.499.000
D,1 máy
E,
F,2.3 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Nhựa ABS, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,10870H
K,2.20 GHz
L,5.00 GHz
M,8
N,16
O,16 MB
P,
Q,8 GB
R,DDR4
S,2933 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,630
AJ,1150 MHz
AK,Share
AL,NVIDIA
AM,GeForce GTX 1650 Ti
AN,4 GB GDDR6
AO,SSD
AP,Không
AQ,1
AR,
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 USB 2.0, 1 USB 3.0"
AV,802.11 a/b/g
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,
BE,150 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,SRGB
BM,Multi-touch touchpad
BN,Lithium-ion
BO,300 MHz
BP,DTS Studio Sound
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
