,1385
A,"Laptop Dell Inspiron N3501 i5 1135G7/12GB/256GB/15.6""HD/Win 10/NK"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n501-i5-1135g7-win-10-nk-htm
C,17.990.000
D,3 máy
E,358.5 x 235 x 15.6 mm
F,1.65 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,12 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,15.6 inch
Y,LED Backlit
Z,1366 x 768 Pixels
AA,LED
AB,60 Hz
AC,TN
AD,250 nits
AE,16:09
AF,400:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,650 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ac
AW,
AX,HD Webcam (720p Webcam)
AY,2
AZ,English International Non-backlit Keyboard
BA,Không
BB,
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,200 MHz
BP,Realtek ALC3204
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
