,2
A,"Laptop Lenovo ThinkPad X1 Carbon Gen 9 i7 1165G7/16GB/512GB/14""WUXGA/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-thinkpad-x1-carbon-gen-9-i7-1165g7-20xw00gdvn-htm
C,52.990.000
D,1 máy
E,315 x 221.6 x 14.9 mm
F,1.133 kg
G,Vỏ máy: Hợp kim Magie và nhôm
H,Intel
I,Core i7
J,1165G7
K,2.80 GHz
L,4.70 GHz
M,4
N,8
O,12 MB
P,
Q,16 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,14.0 inch
Y,IPS
Z,1920 x 1200 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,16:10
AF,1000:1
AG,Có
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 2 Thunderbolt, 2 USB 3.2"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,Bản lề đôi
BK,100% sRGB
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer 4 viên
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
