,2230
A,"Laptop Asus Vivobook Flip TP470EA-EC347W i5 1135G7/8GB/512GB/14.0""FHD Touch/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-flip-tp470ea-ec347w-i5-1135g7-htm
C,20.090.000
D,1 máy
E,324 x 220 x 18.7 mm
F,1.8 kg
G,Mặt bên ngoài cùng: Nhựa
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,
X,14.0 inch
Y,LED Backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Có
AH,Intel
AI,Iris Xe
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI 2.0, 1 Jack 3.5 mm, 1 Thunderbolt, 1 USB 2.0, 1 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,Full HD Webcam (1080p Webcam)
AY,
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,3 Cell
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
