,2828
A,"Laptop HP Pavilion 14 dv2036TU i5 1235U/8GB/256GB/14""FHD/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-pavilion-14-dv2036tu-i5-1235u-htm
C,17.990.000
D,1 máy
E,325 x 216.6 x 17 mm
F,1.41 kg
G,Hợp kim nhôm
H,Intel
I,Core i5
J,1235U
K,2.40 GHz
L,4.40 GHz
M,10
N,12
O,12 MB
P,4 GT/s
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,14.0 inch
Y,BrightView LED Backlit Chính:
Z,1920 x 1080 Pixels
AA,LED
AB,
AC,IPS
AD,250 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C, 2 USB 3.0"
AV,Wifi 6
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,Không
BC,
BD,43 Wh
BE,65 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion 3 viên
BO,
BP,Audio by B&O
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
