,3790
A,Laptop Asus Zenbook UX325EA-EG079T i5 1135G7/8GB/256GB SSD/Intel Iris Xe Graphics/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-ux325ea-eg079t-i5-1135g7-htm
C,22.690.000
D,1 máy
E,304.1 x 203.19 x 13.9 mm
F,1.1 kg
G,"Khung màn hình: Nhôm, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,LPDDR4X
S,3200 MHz
T,0
U,0
V,1
W,8 GB
X,13.3 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 HDMI, 1 USB 3.0, 2 Thunderbolt"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,Ergolift
BK,100% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,400 MHz
BP,Harman Kardon speakers
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
