,3459
A,Laptop Acer Swift 3 SF314-511-55QE i5 1135G7/16GB/512GB SSD/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/acer-swift-3-sf314-511-55qe-i5-1135g7-htm
C,22.990.000
D,6 máy
E,15.9	x 322.8 x 212.2 mm
F,1.19 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhôm, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhôm"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,16 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,
W,
X,14.0 inch
Y,Acer ComfyView Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,"802.11 ax, Wifi 6"
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Trắng
BD,3 Cell
BE,56 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Acer TrueHarmony
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
