,75
A,"Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx506hc-hn144w-i5-11400h-htm
C,23.990.000
D,3 máy
E,359.0 x 256.0 x 22.8 mm
F,2.3 kg
G,"Khung màn hình: Nhựa, Mặt lưng máy: Kim loại"
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,UHD
AJ,1450 MHz
AK,Share
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB GDDR6
AO,SSD
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,48 Wh
BE,
BF,Windows
BG,Windows 11
BH,64 bit
BI,
BJ,Ergolift
BK,62% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium-ion 3 viên
BO,350 MHz
BP,Asus SonicMaster stereo
BQ,Có
BR,
BS,1600 MHz
BT,
BU,2280
BV,
BW,
BX,
