,2806
A,Laptop HP Envy 13 ba1028TU i5 1135G7/8GB/512GB/Win 10/Office Home& Student
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-envy-13-ba1028tu-i5-1135g7-htm
C,23.990.000
D,2 máy
E,307 x 194.5 x 16.9
F,1.31
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,2
W,8 GB
X,13.3 inch
Y,LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,400 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,Bản lề nâng
BK,72% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Audio by B&O
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
