,3816
A,Laptop Lenovo ThinkBook 15 G2 ITL i5 1135G7/8GB/512GB/15.6”FHD/MX450 2GB/Win 10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-thinkbook-15-g2-itl-i5-1135g7-win-10-htm
C,22.490.000
D,1 máy
E,357 x 235 x 19
F,1.7
G,
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,1
U,1
V,1
W,40 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,1
AS,M2. PCIe
AT,512 GB
AU,
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,"6-row, multimedia Fn keys"
BA,Không
BB,Không
BC,
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
