,4037
A,"Laptop Dell Gaming G3 15 3500 i7 10750H/16GB/1TB HDD + 256GB SSD/15.6""FHD/VGA 1650Ti 4GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-gaming-g3-15-3500-i7-10750h-htm
C,27.990.000
D,4 máy
E,
F,
G,
H,Intel
I,Core i7
J,10750H
K,2.60 GHz
L,
M,
N,
O,
P,
Q,16 GB
R,DDR4
S,
T,
U,
V,
W,
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
