,2254
A,"Laptop Dell Inspiron N3505 R5 3500U/8GB/512GB/15.6""FHD/Win 10+Office Home&Student"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-inspiron-n3505-r5-3500u-htm
C,20.290.000
D,2 máy
E,
F,
G,
H,AMD
I,Ryzen 5
J,3500U
K,2.10 GHz
L,
M,
N,
O,
P,
Q,8 GB
R,DDR4
S,
T,
U,
V,
W,
X,15.6 inch
Y,Truelife LED-backlit
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
