,4040
A,Laptop MSI Gaming GF65 10UE-286VN i5 10500H/16GB/512GB/15.6FHD/NVIDIA GeForce RTX 3060 Max-Q 6GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-gaming-gf65-10ue-286vn-i5-10500h-htm
C,29.490.000
D,5 máy
E,359 x 254 x 21.7 mm
F,1.86 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i5
J,10500H
K,2.50 GHz
L,4.50 GHz
M,6
N,12
O,8 MB
P,8 GT/s
Q,16 GB
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,64 GB
X,15.6 inch
Y,
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,
AJ,
AK,Share
AL,NVIDIA
AM,GeForce RTX 3060 Max-Q
AN,6 GB GDDR6
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 2 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Đỏ
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Realtek High Definition Audio
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
